match_id,date,season,team_a,team_b,venue,target_team_a_win,elo_difference,recent_win_rate_difference,overall_win_rate_difference,recent_run_rate_difference,recent_concede_rate_difference,head_to_head_advantage,venue_win_rate_difference,team_a_matches_played,team_b_matches_played,h2h_recent_momentum,venue_dominance_score_diff,elo_momentum_diff,win_streak_diff,net_run_rate_diff,batting_vs_bowling_matchup_a,batting_vs_bowling_matchup_b,rest_days_diff,run_rate_volatility_diff
1136561,2018-04-07,2018,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1136562,2018-04-08,2018,Delhi Capitals,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1136563,2018-04-08,2018,Royal Challengers Bengaluru,Kolkata Knight Riders,Eden Gardens,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1136564,2018-04-09,2018,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1136565,2018-04-10,2018,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,0,0.0,0.0,0.0,0.07612116443745087,0.1020864381520119,0.0,0.0,1,1,0.0,0.0,0.0,0,-0.025965273714561032,0.0865653738504597,-0.09164222873900307,-1.0,0.0
1136566,2018-04-11,2018,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,1,0.0,0.0,0.0,-0.33870967741935476,-0.19491228070175426,0.0,0.0,1,1,0.0,0.0,0.0,0,-0.1437973967176005,-0.4649122807017543,0.06870967741935474,-1.0,0.0
1136567,2018-04-12,2018,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,0,-20.0,-1.0,-1.0,0.08245901639344266,0.3629032258064515,0.0,-0.5,1,1,0.0,-0.5,-20.0,-1,-0.28044420941300885,0.3524590163934427,-0.0929032258064515,2.0,0.0
1136568,2018-04-13,2018,Punjab Kings,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,0,20.0,1.0,1.0,0.010366826156299691,-0.10031471282454762,0.0,0.0,1,1,0.0,0.0,20.0,1,0.11068153898084732,0.025887890457851892,0.11583577712609983,0.0,0.0
1136569,2018-04-14,2018,Mumbai Indians,Delhi Capitals,Wankhede Stadium,0,0.5750112778453058,0.0,0.0,-0.2111942058398959,-0.12887244768421224,0.0,-0.5,2,2,0.0,-1.0,0.5750112778453058,0,-0.08232175815568366,-0.16531955905560602,0.17474709446850212,-1.0,-0.05796839938828313
1136570,2018-04-14,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,0,-19.424988722154694,-0.5,-0.5,0.28168346435530456,0.46786412512218956,0.0,0.5,2,2,0.0,1.0,-19.424988722154694,-2,-0.186180660766885,0.44790847102019393,-0.3016391184573002,2.0,0.09059295840892301
1136571,2018-04-15,2018,Rajasthan Royals,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,1,-0.5750112778453058,0.0,0.0,-0.19916667844672808,0.07503811148717876,0.0,-0.5,2,2,0.0,-1.0,-0.5750112778453058,0,-0.27420478993390685,-0.16893783693831077,-0.044809269978761446,2.0,0.14829094867191583
1136572,2018-04-15,2018,Punjab Kings,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,1,-20.575011277845306,-0.5,-0.5,-0.1310683016840013,-0.15428406730983601,0.0,0.5,2,2,0.0,1.0,-20.575011277845306,-2,0.023215765625834717,-0.11365107502627758,0.17170129396755973,-3.0,-0.07068608428091117
1136573,2018-04-16,2018,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,1,0.5419641492576375,0.0,0.0,-0.12288317148484507,-0.04376755245650621,0.0,0.0,3,3,0.0,0.0,0.5419641492576375,-1,-0.07911561902833886,-0.072443324317357,0.09420739962399427,0.0,0.0830482000076101
1136574,2018-04-17,2018,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,1,-20.0,-0.3333333333333333,-0.3333333333333333,-0.10727209728796328,-0.07148351353646909,0.0,-0.5,3,3,0.0,-1.5,-20.0,0,-0.035788583751494185,-0.11563833709535998,0.06311727372907239,1.0,0.04214437844027401
1136575,2018-04-18,2018,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,0,9.473634820227744,0.16666666666666663,0.16666666666666663,-0.09432166544697096,0.07374379830620859,0.0,0.5,3,4,0.0,1.0,9.473634820227744,1,-0.16806546375317954,-0.06038803316444308,-0.039810166023680704,1.0,0.07289210542698119
1136576,2018-04-19,2018,Punjab Kings,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,1,-18.849980583888055,-0.33333333333333337,-0.33333333333333337,0.23651045049018604,0.291618748355271,0.0,0.5,3,3,0.0,1.5,-18.849980583888055,-2,-0.055108297865084976,0.36269912405963267,-0.1654300747858244,-1.0,0.089129640428954
1136577,2018-04-20,2018,Chennai Super Kings,Rajasthan Royals,Maharashtra Cricket Association Stadium,1,9.664550304088834,0.16666666666666663,0.16666666666666663,0.16123843980633912,0.061252615021190726,0.0,0.0,3,4,0.0,-0.5,9.664550304088834,0,0.09998582478514839,0.02887238527768421,-0.19361866954984563,3.0,-0.12475274922993461
1136578,2018-04-21,2018,Kolkata Knight Riders,Punjab Kings,Eden Gardens,0,-9.742987298985781,-0.15000000000000002,-0.15000000000000002,-0.03916201859628954,0.011556343071961184,0.0,0.16666666666666663,5,4,0.0,1.333333333333333,-19.74298729898578,0,-0.05071836166825072,0.06411699363851664,0.091722669162845,1.0,0.06698519049340236
1136579,2018-04-21,2018,Delhi Capitals,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,0,0.048699249180572224,0.0,0.0,0.05773764794595415,-0.0135242463026235,0.0,0.0,4,4,0.0,0.0,0.048699249180572224,0,0.07126189424857765,-0.031134822105173487,-0.07534822374850414,1.0,0.014926424896494303
1136580,2018-04-22,2018,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,1,0.8059383863869698,0.0,0.0,0.27237741552736083,0.23069110485245892,0.0,-0.5,4,4,0.0,-2.0,0.8059383863869698,1,0.041686310674901916,0.31705019024791037,-0.18601833013190938,-1.0,0.04610449138813427
1136581,2018-04-22,2018,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,0,-8.888568547005661,-0.15000000000000002,-0.15000000000000002,0.12862198169275385,-0.11526794061904755,0.0,0.0,4,5,0.0,-0.5,-18.88856854700566,1,0.2438899223118014,-0.0657862680926351,-0.0791403091663414,3.0,-0.045130039437152214
1136582,2018-04-23,2018,Punjab Kings,Delhi Capitals,Arun Jaitley Stadium,1,60.24740852531113,0.6000000000000001,0.6000000000000001,0.07732139986774866,-0.12036044971530879,0.5,0.0,5,5,0.5,0.0,40.24740852531113,3,0.19768184958305746,0.029042651376884,0.07208170122444413,0.0,0.05923945301436752
1136583,2018-04-24,2018,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,1,36.9584066391551,0.39999999999999997,0.39999999999999997,-0.11992683227572232,-0.11594750884858862,0.5,0.16666666666666669,5,5,0.5,0.8333333333333335,16.9584066391551,0,-0.003979323427133696,-0.08195439748039868,0.15391994364391226,0.0,-0.07125256146494251
1136584,2018-04-25,2018,Royal Challengers Bengaluru,Chennai Super Kings,M.Chinnaswamy Stadium,0,-39.122350212017636,-0.4,-0.4,-0.05367290393066271,0.05406716098602571,0.0,0.16666666666666663,5,5,0.0,0.833333333333333,-19.122350212017636,-1,-0.10774006491668842,0.01715947279394814,0.016765215738585137,1.0,0.0036620856942799346
1136585,2018-04-26,2018,Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi International Stadium,1,-21.273367843358074,-0.20000000000000007,-0.16666666666666674,-0.2435097965630657,-0.13840950091519644,-0.5,0.16666666666666663,6,6,-0.5,1.0,-41.27336784335807,-3,-0.10510029564786927,-0.10759969263230573,0.2743196048459564,-1.0,-0.08532527819804667
1136586,2018-04-27,2018,Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,1,-39.348240188271575,-0.2,-0.33333333333333337,-0.03065081729271313,-0.00698009384076359,-0.5,-0.5,6,6,-0.5,-3.0,-19.348240188271575,0,-0.023670723451949538,-0.041765845170195215,-0.004134934036718496,-2.0,7.458140994090479e-05
1136587,2018-04-28,2018,Chennai Super Kings,Mumbai Indians,Maharashtra Cricket Association Stadium,0,75.53690075029544,0.6000000000000001,0.6666666666666667,0.2709840396929497,0.1961459939359842,0.5,0.5,6,6,0.5,3.0,36.11191202814075,3,0.07483804575696551,0.2602286194561745,-0.20690141417275942,-1.0,-0.24026154589535131
1136588,2018-04-29,2018,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,1,28.133172126825002,0.0,0.2142857142857143,-0.16677752054934136,-0.3333544052742188,0.5,-0.16666666666666663,7,6,0.5,-0.5,-0.7333023062244592,1,0.16657688472487742,-0.30557286710892395,0.1945590587146362,-4.0,-0.0030676805706874033
1136589,2018-04-29,2018,Royal Challengers Bengaluru,Kolkata Knight Riders,M.Chinnaswamy Stadium,0,-8.862008952788528,0.0,-0.09523809523809523,0.1077183381553537,0.04740145647998584,-0.5,0.0,6,7,-0.5,-0.5,-18.8785059415286,0,0.06031688167536786,0.012050464749416179,-0.14306932988592336,2.0,-0.03836349670172781
1136590,2018-04-30,2018,Chennai Super Kings,Delhi Capitals,Maharashtra Cricket Association Stadium,1,52.97004962560118,0.19999999999999996,0.4285714285714286,0.05139505309520431,0.007087359031169305,0.0,0.0,7,7,0.0,0.0,33.578104892455485,-1,0.04430769406403501,0.06244981670451977,0.00396740457814615,-1.0,-0.12962273515999545
1136591,2018-05-01,2018,Royal Challengers Bengaluru,Mumbai Indians,M.Chinnaswamy Stadium,1,-3.2283489882856884,-0.2,0.0,0.17708414839461128,0.23326569101157535,-0.5,-0.09999999999999998,7,7,-0.5,-0.6999999999999997,-23.22834898828569,-1,-0.056181542616964064,0.18266084989014386,-0.22768898951604277,-1.0,-0.19410271110687122
